closingPrice,securityId,securityName,shareTraded,symbol,fetched_at,date,source_endpoint
11.3,9174,Prabhu Smart Fund,813300,PRSF,2025-08-30 12:59:55.075775,2025-08-30,TopTenTradeScrips
10.16,9191,Citizens Super 30 Mutual Fund,677300,C30MF,2025-08-30 12:59:55.075775,2025-08-30,TopTenTradeScrips
1030.1,9234,Himalayan Reinsurance Limited,578159,HRL,2025-08-30 12:59:55.075775,2025-08-30,TopTenTradeScrips
11.46,2867,NMB 50,560527,NMB50,2025-08-30 12:59:55.075775,2025-08-30,TopTenTradeScrips
268.5,2757,Arun Kabeli Power Ltd.,540030,AKPL,2025-08-30 12:59:55.075775,2025-08-30,TopTenTradeScrips
308.0,2934,Singati Hydro Energy Limited,421934,SHEL,2025-08-30 12:59:55.075775,2025-08-30,TopTenTradeScrips
201.0,142,Kumari Bank Limited,388024,KBL,2025-08-30 12:59:55.075775,2025-08-30,TopTenTradeScrips
1689.0,2881,Nepal Reinsurance Company Limited,384160,NRIC,2025-08-30 12:59:55.075775,2025-08-30,TopTenTradeScrips
402.9,2743,Ngadi Group Power Ltd.,373453,NGPL,2025-08-30 12:59:55.075775,2025-08-30,TopTenTradeScrips
626.0,2809,SHIVAM CEMENTS LTD,356079,SHIVM,2025-08-30 12:59:55.075775,2025-08-30,TopTenTradeScrips
9.89,2859,Siddhartha Investment Growth Scheme - 2,343200,SIGS2,2025-08-30 12:59:55.075775,2025-08-30,TopTenTradeScrips
580.0,2760,United Modi Hydropower Ltd.,339552,UMHL,2025-08-30 12:59:55.075775,2025-08-30,TopTenTradeScrips
237.0,2903,Liberty Energy Company Limited,334435,LEC,2025-08-30 12:59:55.075775,2025-08-30,TopTenTradeScrips
551.0,358,Lumbini Bikas Bank Ltd.,309487,LBBL,2025-08-30 12:59:55.075775,2025-08-30,TopTenTradeScrips
204.2,8111,Hydorelectricity Investment and Development Company Limited Promoter,273029,HIDCLP,2025-08-30 12:59:55.075775,2025-08-30,TopTenTradeScrips
279.8,2919,Nepal Infrastructure Bank Limited,246183,NIFRA,2025-08-30 12:59:55.075775,2025-08-30,TopTenTradeScrips
